2026-06-29T18:10:46+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:10:46.837450Z  INFO warzone_sentinel: [mitigate] [String("shield:normal")]
2026-06-29T18:11:08+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:11:08.638273Z  INFO warzone_sentinel::network_guard: [network-guard] buffer Kick (wan jitter 0.3ms) — [buffer-tune] applied profile=kick xbox_rtt=3ms ifb_rtt=3ms backlog=65536 xbox=192.0.2.50 wan=eth1 ifb=ifb0
2026-06-29T18:11:08+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:11:08.693276Z  INFO warzone_sentinel::network_guard: [network-guard] flood Shield — [packet-shield-nft] SHIELD (normal/tiny-only) already active — skip rebuild
2026-06-29T18:11:08+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:11:08.719867Z  INFO warzone_sentinel::network_guard: [network-guard] MoCA DSCP EF — moca-qos=ef backend=pve-host xbox=192.0.2.50
2026-06-29T18:11:08+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:11:08.786577Z  INFO warzone_sentinel::network_guard: [network-guard] upload boost — active=1 xbox_ceil=882mbit shaped_mbps=901
2026-06-29T18:11:13+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:11:13.105728Z  INFO warzone_sentinel: [mitigate] [String("shield:normal")]
2026-06-29T18:11:13+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:11:13.105775Z  WARN warzone_sentinel: WZ ALERT [HIGH] score=58 phase=in-match (reminder) — Cheater lobby — packet shield active (blocks tiny flood packets; normal aim traffic unchanged).
2026-06-29T18:11:13+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:11:13.203564Z  WARN warzone_sentinel::notify: [ntfy] phone push rejected: HTTP 429 Too Many Requests
2026-06-29T18:11:40+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:11:40.375342Z  INFO warzone_sentinel: [mitigate] [String("shield:normal")]
2026-06-29T18:11:57+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:11:57.068181Z  INFO warzone_sentinel: [mitigate] [String("shield:normal")]
2026-06-29T18:11:57+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:11:57.068228Z  WARN warzone_sentinel: WZ ALERT [HIGH] score=58 phase=in-match (reminder) — Cheater lobby — packet shield active (blocks tiny flood packets; normal aim traffic unchanged).
2026-06-29T18:11:57+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:11:57.158909Z  WARN warzone_sentinel::notify: [ntfy] phone push rejected: HTTP 429 Too Many Requests
2026-06-29T18:12:17+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:12:17.888239Z  INFO warzone_sentinel: [mitigate] [String("shield:normal")]
2026-06-29T18:12:34+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:12:34.648005Z  INFO warzone_sentinel: [mitigate] [String("shield:normal")]
2026-06-29T18:12:56+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:12:56.476880Z  INFO warzone_sentinel::network_guard: [network-guard] buffer Kick (wan jitter 0.3ms) — [buffer-tune] applied profile=kick xbox_rtt=3ms ifb_rtt=3ms backlog=65536 xbox=192.0.2.50 wan=eth1 ifb=ifb0
2026-06-29T18:12:56+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:12:56.532774Z  INFO warzone_sentinel::network_guard: [network-guard] flood Shield — [packet-shield-nft] SHIELD (normal/tiny-only) already active — skip rebuild
2026-06-29T18:12:56+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:12:56.566088Z  INFO warzone_sentinel::network_guard: [network-guard] MoCA DSCP EF — moca-qos=ef backend=pve-host xbox=192.0.2.50
2026-06-29T18:12:56+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:12:56.644968Z  INFO warzone_sentinel::network_guard: [network-guard] upload boost — active=1 xbox_ceil=882mbit shaped_mbps=901
2026-06-29T18:12:56+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:12:56.996719Z  INFO warzone_sentinel: [mitigate] [String("shield:normal")]
2026-06-29T18:12:56+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:12:56.996765Z  WARN warzone_sentinel: WZ ALERT [HIGH] score=58 phase=in-match (reminder) — Cheater lobby — packet shield active (blocks tiny flood packets; normal aim traffic unchanged).
2026-06-29T18:12:57+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:12:57.090746Z  WARN warzone_sentinel::notify: [ntfy] phone push rejected: HTTP 429 Too Many Requests
2026-06-29T18:13:13+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:13:13.741890Z  INFO warzone_sentinel: [mitigate] [String("shield:normal")]
2026-06-29T18:13:29+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:13:29.566463Z  INFO warzone_sentinel: [mitigate] [String("shield:normal")]
2026-06-29T18:13:47+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:13:47.192686Z  INFO warzone_sentinel: [mitigate] [String("shield:normal")]
2026-06-29T18:13:47+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:13:47.192734Z  WARN warzone_sentinel: WZ ALERT [HIGH] score=58 phase=in-match (reminder) — Cheater lobby — packet shield active (blocks tiny flood packets; normal aim traffic unchanged).
2026-06-29T18:13:47+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:13:47.299389Z  WARN warzone_sentinel::notify: [ntfy] phone push rejected: HTTP 429 Too Many Requests
2026-06-29T18:14:02+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:14:02.582304Z  INFO warzone_sentinel: [mitigate] [String("shield:normal")]
2026-06-29T18:14:36+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:14:36.752121Z  INFO warzone_sentinel::network_guard: [network-guard] buffer Kick (wan jitter 0.4ms) — [buffer-tune] applied profile=kick xbox_rtt=3ms ifb_rtt=3ms backlog=65536 xbox=192.0.2.50 wan=eth1 ifb=ifb0
2026-06-29T18:14:36+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:14:36.806745Z  INFO warzone_sentinel::network_guard: [network-guard] flood Shield — [packet-shield-nft] SHIELD (normal/tiny-only) already active — skip rebuild
2026-06-29T18:14:36+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:14:36.837871Z  INFO warzone_sentinel::network_guard: [network-guard] MoCA DSCP EF — moca-qos=ef backend=pve-host xbox=192.0.2.50
2026-06-29T18:14:36+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:14:36.903908Z  INFO warzone_sentinel::network_guard: [network-guard] upload boost — active=1 xbox_ceil=882mbit shaped_mbps=901
2026-06-29T18:14:41+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:14:41.221354Z  INFO warzone_sentinel: [mitigate] [String("shield:normal")]
2026-06-29T18:14:41+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:14:41.221425Z  WARN warzone_sentinel: WZ ALERT [HIGH] score=58 phase=in-match (reminder) — Cheater lobby — packet shield active (blocks tiny flood packets; normal aim traffic unchanged).
2026-06-29T18:14:41+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:14:41.640079Z  WARN warzone_sentinel::notify: [ntfy] phone push rejected: HTTP 429 Too Many Requests
2026-06-29T18:14:58+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:14:58.327456Z  INFO warzone_sentinel: [mitigate] [String("shield:normal")]
2026-06-29T18:15:18+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:15:18.982604Z  INFO warzone_sentinel: [mitigate] [String("shield:normal")]
2026-06-29T18:15:35+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:15:35.608455Z  INFO warzone_sentinel: [mitigate] [String("shield:normal")]
2026-06-29T18:15:35+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:15:35.608504Z  WARN warzone_sentinel: WZ ALERT [HIGH] score=58 phase=in-match (reminder) — Cheater lobby — packet shield active (blocks tiny flood packets; normal aim traffic unchanged).
2026-06-29T18:15:35+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:15:35.705143Z  WARN warzone_sentinel::notify: [ntfy] phone push rejected: HTTP 429 Too Many Requests
2026-06-29T18:15:52+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:15:52.375006Z  INFO warzone_sentinel: [mitigate] [String("shield:normal")]
2026-06-29T18:16:08+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:16:08.713587Z  INFO warzone_sentinel::network_guard: [network-guard] buffer Kick (wan jitter 0.3ms) — [buffer-tune] applied profile=kick xbox_rtt=3ms ifb_rtt=3ms backlog=65536 xbox=192.0.2.50 wan=eth1 ifb=ifb0
2026-06-29T18:16:08+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:16:08.767964Z  INFO warzone_sentinel::network_guard: [network-guard] flood Shield — [packet-shield-nft] SHIELD (normal/tiny-only) already active — skip rebuild
2026-06-29T18:16:08+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:16:08.798845Z  INFO warzone_sentinel::network_guard: [network-guard] MoCA DSCP EF — moca-qos=ef backend=pve-host xbox=192.0.2.50
2026-06-29T18:16:08+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:16:08.863736Z  INFO warzone_sentinel::network_guard: [network-guard] upload boost — active=1 xbox_ceil=882mbit shaped_mbps=901
2026-06-29T18:16:13+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:16:13.218337Z  INFO warzone_sentinel: [mitigate] [String("shield:normal")]
2026-06-29T18:16:39+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:16:39.202041Z  INFO warzone_sentinel: [mitigate] [String("shield:normal")]
2026-06-29T18:16:39+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:16:39.202093Z  WARN warzone_sentinel: WZ ALERT [HIGH] score=58 phase=in-match (reminder) — Cheater lobby — packet shield active (blocks tiny flood packets; normal aim traffic unchanged).
2026-06-29T18:16:39+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:16:39.293690Z  WARN warzone_sentinel::notify: [ntfy] phone push rejected: HTTP 429 Too Many Requests
